income,age,p
3420.64,62.24,0.0009
3420.64,65.4,0.00269
3420.64,68.56,0.00179
3420.64,71.72,0.0009
3420.64,74.88,0.0
3420.64,78.04,0.00135
3420.64,81.2,0.0
3420.64,84.36,0.0
3420.64,87.52,0.00045
3420.64,90.68,0.00045
3420.64,93.84,0.0
3420.64,97.0,0.0
3420.64,100.16,0.0
3420.64,103.32,0.0
3800.6,11.68,0.0
3800.6,14.84,0.0
3800.6,18.0,0.0
3800.6,21.16,0.0
3800.6,24.32,0.0
3800.6,27.48,0.0
3800.6,30.64,0.0
3800.6,33.8,0.00045
3800.6,36.96,0.0
3800.6,40.12,0.00045
3800.6,43.28,0.0
3800.6,46.44,0.00045
3800.6,49.6,0.0009
3800.6,52.76,0.00045
3800.6,55.92,0.00045
3800.6,59.08,0.00045
3800.6,62.24,0.0
3800.6,65.4,0.0
3800.6,68.56,0.0
3800.6,71.72,0.0
3800.6,74.88,0.00045
3800.6,78.04,0.0
3800.6,81.2,0.0
3800.6,84.36,0.0
3800.6,87.52,0.0
3800.6,90.68,0.0
3800.6,93.84,0.0
3800.6,97.0,0.0
3800.6,100.16,0.0
3800.6,103.32,0.0
4180.56,11.68,0.0
4180.56,14.84,0.0
4180.56,18.0,0.0
4180.56,21.16,0.0
4180.56,24.32,0.0
4180.56,27.48,0.00045
4180.56,30.64,0.0
4180.56,33.8,0.00045
4180.56,36.96,0.0009
4180.56,40.12,0.00045
4180.56,43.28,0.00269
4180.56,46.44,0.00404
4180.56,49.6,0.00179
4180.56,52.76,0.00135
4180.56,55.92,0.00135
4180.56,59.08,0.00314
4180.56,62.24,0.0009
4180.56,65.4,0.00045
4180.56,68.56,0.0
4180.56,71.72,0.0009
4180.56,74.88,0.0009
4180.56,78.04,0.0
4180.56,81.2,0.0
4180.56,84.36,0.0
4180.56,87.52,0.0
4180.56,90.68,0.0
4180.56,93.84,0.0
4180.56,97.0,0.0
4180.56,100.16,0.0
4180.56,103.32,0.0
4560.52,11.68,0.0
4560.52,14.84,0.0
4560.52,18.0,0.0
4560.52,21.16,0.0
4560.52,24.32,0.0
4560.52,27.48,0.0
4560.52,30.64,0.0
4560.52,33.8,0.0
4560.52,36.96,0.00045
4560.52,40.12,0.00045
4560.52,43.28,0.00045
4560.52,46.44,0.00269
4560.52,49.6,0.00045
4560.52,52.76,0.00224
4560.52,55.92,0.0009
4560.52,59.08,0.0009
4560.52,62.24,0.0
4560.52,65.4,0.0009
4560.52,68.56,0.00045
4560.52,71.72,0.0
4560.52,74.88,0.00045
4560.52,78.04,0.0009
4560.52,81.2,0.0
4560.52,84.36,0.0
4560.52,87.52,0.0
4560.52,90.68,0.0
4560.52,93.84,0.0
4560.52,97.0,0.0
4560.52,100.16,0.0
4560.52,103.32,0.0
4940.48,11.68,0.0
4940.48,14.84,0.0
4940.48,18.0,0.0
4940.48,21.16,0.0
4940.48,24.32,0.0
4940.48,27.48,0.0
4940.48,30.64,0.00045
4940.48,33.8,0.00045
4940.48,36.96,0.00045
4940.48,40.12,0.0
4940.48,43.28,0.00135
4940.48,46.44,0.0
4940.48,49.6,0.00135
4940.48,52.76,0.00135
4940.48,55.92,0.0009
4940.48,59.08,0.0009
4940.48,62.24,0.0
4940.48,65.4,0.0
4940.48,68.56,0.00045
4940.48,71.72,0.0
4940.48,74.88,0.0
4940.48,78.04,0.0
4940.48,81.2,0.0
4940.48,84.36,0.00045
4940.48,87.52,0.00045
4940.48,90.68,0.0
4940.48,93.84,0.0
4940.48,97.0,0.0
4940.48,100.16,0.0
4940.48,103.32,0.0
5320.44,11.68,0.0
5320.44,14.84,0.0
5320.44,18.0,0.0
5320.44,21.16,0.0
5320.44,24.32,0.0
5320.44,27.48,0.0
5320.44,30.64,0.0
5320.44,33.8,0.0
5320.44,36.96,0.0
5320.44,40.12,0.00045
5320.44,43.28,0.0
5320.44,46.44,0.00045
5320.44,49.6,0.0
5320.44,52.76,0.0
5320.44,55.92,0.0
5320.44,59.08,0.00045
5320.44,62.24,0.0
5320.44,65.4,0.0
5320.44,68.56,0.0
5320.44,71.72,0.0
5320.44,74.88,0.0
5320.44,78.04,0.0
5320.44,81.2,0.0
5320.44,84.36,0.0
5320.44,87.52,0.0
5320.44,90.68,0.0
5320.44,93.84,0.0
5320.44,97.0,0.0
5320.44,100.16,0.0
5320.44,103.32,0.0
5700.4,11.68,0.0
5700.4,14.84,0.0
5700.4,18.0,0.0
5700.4,21.16,0.0
5700.4,24.32,0.0
5700.4,27.48,0.0
5700.4,30.64,0.0
5700.4,33.8,0.0
5700.4,36.96,0.0
5700.4,40.12,0.0
5700.4,43.28,0.0
5700.4,46.44,0.0
5700.4,49.6,0.0
5700.4,52.76,0.0
5700.4,55.92,0.0
5700.4,59.08,0.00045
5700.4,62.24,0.0
5700.4,65.4,0.0
5700.4,68.56,0.0
5700.4,71.72,0.0
5700.4,74.88,0.0
5700.4,78.04,0.0
5700.4,81.2,0.0
5700.4,84.36,0.0
5700.4,87.52,0.0
5700.4,90.68,0.0
5700.4,93.84,0.0
5700.4,97.0,0.0
5700.4,100.16,0.0
5700.4,103.32,0.0
6080.36,11.68,0.0
6080.36,14.84,0.0
6080.36,18.0,0.0
6080.36,21.16,0.0
6080.36,24.32,0.0
6080.36,27.48,0.00045
6080.36,30.64,0.0
6080.36,33.8,0.00045
6080.36,36.96,0.0
6080.36,40.12,0.0
6080.36,43.28,0.0009
6080.36,46.44,0.0009
6080.36,49.6,0.00135
6080.36,52.76,0.00045
6080.36,55.92,0.00135
