linearity,z_min
0.4156,13.5785
0.866,0.6298
0.3034,6.9643
0.3226,7.114
0.4954,7.434
0.2343,1.9652
0.2067,9.523
0.2757,-0.086
0.2817,3.4219999999999997
0.316,10.445
0.2949,-0.07
0.3032,8.532
0.5371,5.6837
0.3294,8.658
0.3783,0.845
0.1765,0.24100000000000002
0.5422,0.35600000000000004
0.3642,4.601
0.2481,1.6118
0.2869,9.236
0.3893,12.635
0.4224,5.187
0.3121,1.868
0.5411,0.026000000000000002
0.1815,6.192
0.2942,6.5889999999999995
0.1613,6.284
0.3161,6.167000000000001
0.38299999999999995,9.878
0.2381,1.136
0.3393,-0.018000000000000002
0.4195,7.146
0.1423,4.7852
0.4336,4.0175
0.2596,4.54
0.2642,0.07
0.3846,2.384
0.4509,2.443
0.336,0.1818
0.4764,6.277
0.2186,17.029
0.2809,9.884
0.2928,5.242000000000001
0.09,1.8336
0.20199999999999999,0.0146
0.6261,3.1660000000000004
0.3185,-0.044000000000000004
0.4294,-0.4612
0.4444,0.071
0.3182,0.741
0.2438,5.699
0.3023,-0.076
0.306,16.065
0.2625,0.009000000000000001
0.3649,-0.0643
0.2491,0.6342
0.3781,1.287
0.272,9.0598
0.2468,-0.7832
0.2712,11.804
0.1713,0.4486
0.3156,13.477
0.2038,4.5235
0.2995,-0.044000000000000004
0.3506,14.314
0.3457,-0.285
0.4743,1.547
0.1678,5.105
0.2028,-0.013000000000000001
0.2688,0.005
0.3215,3.385
0.4218,2.946
0.9501,0.505
0.3839,10.509
0.2428,-0.0525
0.545,15.69
0.5859,0.006999999999999999
0.3543,0.155
0.3556,4.944
0.2078,-0.048
0.3686,1.807
0.2395,6.3420000000000005
0.7001,1.202
0.4056,-0.0175
0.368,-0.16
0.2656,3.898
0.1834,-0.0339
0.20600000000000002,-0.88
0.3803,1.195
0.1431,8.6904
0.2283,0.5589999999999999
0.7558,-0.054000000000000006
0.4088,8.499
0.2847,4.635
0.4893,-0.052000000000000005
0.1022,2.8289999999999997
0.2325,4.894
0.6042,-1.339
0.3371,10.2746
0.2235,7.6794
0.3257,1.095
0.6292,9.724
0.3817,4.2717
0.3115,9.467
0.6155,0.33399999999999996
0.4023,0.852
0.35100000000000003,5.2865
0.2694,6.17
0.2647,6.816
0.3976,0.0893
0.21100000000000002,7.3637
0.5009,2.249
0.2196,0.2629
0.3016,0.365
0.4996,10.4276
0.2738,2.6333
0.2924,2.596
0.4158,5.093
0.1356,8.2758
0.2232,9.703
0.2685,-0.017
0.674,0.256
0.3839,10.509
0.2212,-0.054000000000000006
0.2287,4.242
0.3308,0.58
0.2621,-0.04
0.3833,4.5062
0.3013,4.7306
0.1657,9.2087
0.4063,0.74
0.3395,3.625
0.3201,6.307
0.6847,1.726
0.2505,0.006999999999999999
0.2889,-0.46299999999999997
0.2354,4.505
0.6889,0.8740000000000001
0.264,7.061
0.3028,8.344
0.3357,11.362
0.5547,8.5195
0.2776,5.361000000000001
0.2282,9.2777
0.2486,1.675
0.2057,0.0207
0.247,7.3325
0.5428,8.581
0.1863,5.0089999999999995
0.5122,-0.0205
0.7488,0.9184
0.5179,-0.25
0.2828,1.3275
0.3411,8.244
0.3295,12.543
0.5414,0.0275
0.3548,4.489
0.3186,-0.0261
0.45399999999999996,1.886
0.3892,0.9875
0.8288,0.314
0.2664,8.794
0.1811,14.582
0.2948,14.468
0.336,2.459
0.1818,3.088
0.2686,1.82
0.5667,0.8216
0.4333,0.163
0.4471,-0.04
0.5667,6.0838
0.4072,7.649
0.4002,-0.0153
0.2882,5.127000000000001
0.1742,-0.0465
0.3255,12.890999999999998
0.33,1.148
0.2396,3.923
0.3197,3.8289999999999997
0.2743,6.5755
0.4798,-0.066
0.349,8.0802
0.3272,16.072
0.2535,29.5117
0.2587,15.788
0.3113,8.24
0.2156,2.0419
0.5048,0.10800000000000001
0.3818,12.065999999999999
0.1807,-0.0169
0.2637,11.485
0.2338,7.466
0.2429,0.9786
0.8203,1.0179
0.2546,-0.0407
0.4531,0.8452
0.3907,4.281000000000001
0.2772,7.374
0.2326,-0.0272
0.2737,0.026000000000000002
0.405,16.4818
0.111,12.9653
0.2048,8.886000000000001
0.4025,1.594
0.2137,-0.201
0.3868,2.906
0.2912,6.7170000000000005
0.2831,2.5839999999999996
0.5878,1.3159999999999998
0.22,13.3585
0.2267,7.6765
0.1918,18.0228
0.2479,-0.0055
0.2914,4.869
0.1958,2.546
0.21100000000000002,4.213
0.2518,0.455
0.4319,12.3075
0.2777,-0.0003
0.3204,-0.0178
0.6499,9.8843
0.2687,3.2910000000000004
0.3063,6.899
0.3218,4.7792
0.3051,4.843999999999999
0.3789,8.742
0.4117,-0.048
0.2595,0.9235
0.5431,0.122
0.4914,10.908
0.2242,-0.036000000000000004
0.5497,0.006999999999999999
0.402,8.638
0.34600000000000003,8.0924
0.3594,10.2727
0.2545,4.109
0.9178,3.213
0.3322,2.1287
0.3505,1.159
0.665,3.7843
0.4684,1.617
0.2361,14.561
0.2925,2.539
0.358,12.255
0.2788,1.439
0.4208,12.7876
0.243,0.045
0.2291,2.194
0.2871,-0.051
0.3399,15.6576
0.2812,0.956
0.3884,10.214
0.4525,14.234000000000002
0.2627,7.222
0.6239,1.5155
0.6181,0.23199999999999998
0.2785,3.4795
0.2864,3.7089999999999996
0.3806,2.781
0.3048,0.1285
0.2577,-0.035
0.1217,0.12300000000000001
0.2434,5.0360000000000005
0.3068,12.185
0.3473,2.87
0.35200000000000004,2.839
0.4834,6.032
0.3053,8.096
0.3013,2.4555
0.5893,0.2515
0.5275,4.0115
0.7001,2.3409999999999997
0.3461,-0.033
0.4304,9.4764
0.4365,2.6415
0.2051,2.5810000000000004
0.20600000000000002,-0.005
0.2135,11.270999999999999
0.1712,16.6899
0.8740000000000001,-0.054000000000000006
0.18100000000000002,9.8633
0.3387,9.488
0.3154,10.261
0.4069,5.834
0.2106,2.4245
0.3117,-0.1213
0.1925,3.807
0.2225,1.405
0.5238,23.9774
0.3923,1.436
0.2808,-0.003
0.2777,3.4239
0.2259,-0.033
0.6081,0.9095
0.3611,0.306
0.2791,3.7960000000000003
0.4919,20.3775
0.1677,3.9626
0.4436,9.656
0.1742,-0.0465
0.3091,12.5494
0.28300000000000003,-0.045
0.368,-0.16
0.4069,5.122000000000001
0.2257,0.2753
0.5542,6.9627
0.6671,4.23
0.2868,7.276
0.3012,4.3825
0.2645,7.742999999999999
0.6011,5.135
0.3355,6.136
0.7063,5.352
0.2314,1.19
0.1379,-0.113
0.3783,0.845
0.6636,3.728
0.3716,0.9613
0.1619,0.0774
0.1825,-0.12
0.1694,-0.0189
0.1991,1.5255
0.3329,6.564
0.233,1.89
0.3108,13.277000000000001
0.5893,0.2515
0.4803,-0.052000000000000005
0.2226,-0.044000000000000004
0.3397,5.334
0.2703,-0.024
0.3107,-0.039
0.1821,0.0034
0.2205,0.021
0.2852,0.1735
0.4196,2.089
0.3212,5.4662
0.3299,1.5659999999999998
0.6314,-0.11900000000000001
0.27,5.2379999999999995
0.3709,2.2195
0.2712,3.957
0.4011,1.472
0.498,1.9609999999999999
0.2921,-0.0385
0.1894,-0.0413
0.6179,2.9532
0.368,-0.16
0.2226,-0.084
0.2663,-0.071
0.3096,0.8333
0.4321,4.985
0.2993,2.693
0.3923,11.4866
0.1599,-0.0273
0.1989,9.9892
0.3674,8.988
0.3426,0.466
0.2686,-0.0333
0.5145,0.272
0.3594,3.7
0.28800000000000003,5.3323
0.2671,-0.037000000000000005
0.1635,2.1421
0.4145,1.9369999999999998
0.1964,7.1610000000000005
0.2186,-0.0335
0.3984,-0.871
0.2819,5.624
0.6889,0.8740000000000001
0.3997,3.2310000000000003
0.3641,0.29
0.4956,6.4164
0.2778,2.072
0.4177,0.214
0.1452,11.259
0.2199,1.7355
0.2161,-1.1833
0.2225,7.619
0.5302,5.121
0.1446,2.5937
